10.148.144.138 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.3/10.3/10.3
10.148.144.139 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.1/10.1/10.1
10.148.144.140 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.5/10.5/10.5
10.148.144.141 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.9/10.9/10.9
10.148.144.142 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.6/11.6/11.6
10.148.144.144 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.0/11.0/11.0
10.148.144.145 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.1/11.1/11.1
10.148.144.146 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.6/11.6/11.6
10.148.144.147 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 12.0/12.0/12.0
10.148.144.148 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 14.8/14.8/14.8
10.148.144.149 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.8/11.8/11.8
10.148.144.150 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.8/10.8/10.8
10.148.144.152 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.8/10.8/10.8
10.148.144.153 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.2/10.2/10.2
10.148.144.154 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.0/11.0/11.0
10.148.144.156 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.9/10.9/10.9
10.148.144.157 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.6/10.6/10.6
10.148.144.158 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.0/11.0/11.0
10.148.144.159 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.1/11.1/11.1
10.148.144.160 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.1/10.1/10.1
10.148.144.161 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.9/10.9/10.9
10.148.144.163 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.7/10.7/10.7
10.148.144.164 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.4/11.4/11.4
10.148.144.165 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.1/11.1/11.1
10.148.144.166 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.9/10.9/10.9
10.148.144.167 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.2/11.2/11.2
10.148.144.168 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.7/10.7/10.7
10.148.144.169 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.1/10.1/10.1
10.148.144.170 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.8/10.8/10.8
10.148.144.171 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 9.97/9.97/9.97
10.148.144.172 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.7/10.7/10.7
10.148.144.173 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.1/11.1/11.1
10.148.144.175 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.9/11.9/11.9
10.148.144.176 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.2/10.2/10.2
10.148.144.177 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.1/10.1/10.1
10.148.144.178 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.2/10.2/10.2
10.148.144.179 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.0/10.0/10.0
10.148.144.180 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.7/10.7/10.7
10.148.144.181 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.6/11.6/11.6
10.148.144.182 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.5/11.5/11.5
10.148.144.183 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.9/10.9/10.9
10.148.144.184 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.4/11.4/11.4
10.148.144.185 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.2/11.2/11.2
10.148.144.186 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.0/11.0/11.0
10.148.144.187 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.6/11.6/11.6
10.148.144.188 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.5/10.5/10.5
10.148.144.189 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.4/11.4/11.4
10.148.144.190 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 12.1/12.1/12.1

10.148.144.193 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.1/10.1/10.1
10.148.144.194 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.8/10.8/10.8
10.148.144.195 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.6/11.6/11.6
10.148.144.196 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.0/11.0/11.0
10.148.144.197 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.4/11.4/11.4
10.148.144.198 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.0/11.0/11.0
10.148.144.199 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 12.3/12.3/12.3
10.148.144.200 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 12.1/12.1/12.1
10.148.144.201 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.8/10.8/10.8
10.148.144.203 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.6/10.6/10.6
10.148.144.204 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 12.2/12.2/12.2
10.148.144.205 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.8/11.8/11.8
10.148.144.206 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 9.93/9.93/9.93
10.148.144.208 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.9/11.9/11.9
10.148.144.209 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 12.7/12.7/12.7
10.148.144.210 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.2/10.2/10.2
10.148.144.211 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.2/11.2/11.2
10.148.144.212 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.9/11.9/11.9
10.148.144.213 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 9.96/9.96/9.96
10.148.144.214 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.4/10.4/10.4
10.148.144.215 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.6/10.6/10.6
10.148.144.216 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.6/10.6/10.6
10.148.144.217 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.5/11.5/11.5
10.148.144.218 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.5/10.5/10.5
10.148.144.220 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.5/11.5/11.5
10.148.144.221 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.8/11.8/11.8
10.148.144.222 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 12.1/12.1/12.1
10.148.144.223 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 13.0/13.0/13.0
10.148.144.224 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.8/11.8/11.8
10.148.144.225 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.4/11.4/11.4
10.148.144.226 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.5/11.5/11.5
10.148.144.227 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.6/11.6/11.6
10.148.144.228 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.4/11.4/11.4
10.148.144.229 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 9.91/9.91/9.91
10.148.144.230 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 13.8/13.8/13.8
10.148.144.231 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 15.4/15.4/15.4
10.148.144.232 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 13.5/13.5/13.5
10.148.144.233 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 13.2/13.2/13.2
10.148.144.234 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.9/11.9/11.9
10.148.144.235 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.0/10.0/10.0
10.148.144.236 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.6/10.6/10.6
10.148.144.237 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 12.4/12.4/12.4
10.148.144.238 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.2/10.2/10.2
10.148.144.239 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 12.1/12.1/12.1
10.148.144.240 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.0/11.0/11.0
10.148.144.242 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.5/11.5/11.5
10.148.144.243 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 12.2/12.2/12.2
10.148.144.244 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.3/11.3/11.3
10.148.144.245 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.3/10.3/10.3
10.148.144.246 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.8/10.8/10.8
10.148.144.247 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.4/11.4/11.4
10.148.144.248 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.1/11.1/11.1
10.148.144.249 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.8/10.8/10.8
10.148.144.250 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 12.1/12.1/12.1
10.148.144.251 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 12.1/12.1/12.1
10.148.144.252 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 12.3/12.3/12.3
10.148.144.253 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.8/11.8/11.8
10.148.144.254 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.0/11.0/11.0

10.148.145.1  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.8/10.8/10.8
10.148.145.13 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.9/10.9/10.9
10.148.145.14 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.1/11.1/11.1
10.148.145.19 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 12.5/12.5/12.5
10.148.145.22 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.6/10.6/10.6
10.148.145.23 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 12.3/12.3/12.3
10.148.145.24 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.3/11.3/11.3
10.148.145.25 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.7/10.7/10.7
10.148.145.27 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.6/10.6/10.6
10.148.145.33 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.6/11.6/11.6
10.148.145.34 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.5/11.5/11.5
10.148.145.37 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.9/10.9/10.9
10.148.145.38 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.5/10.5/10.5
10.148.145.39 : xmt/rcv/%loss = 1/1/0%, min/avg/max = 10.9/10.9/10.9

10.148.145.68  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.5/11.5/11.5
10.148.145.79  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 9.91/9.91/9.91
10.148.145.80  : xmt/rcv/%loss = 1/1/0%, min/avg/max = 11.9/11.9/11.9
